v_phys,v_phi_phys,lam_phi_phys,lam_phys,g_portal_max,R0,w,SE,max_g
4.2e-05,9.05e-05,0.1,0.00015000000000000001,2.0,11.9,3.0,-661.0906334276438,0.022812500000000003
4.2e-05,9.05e-05,0.1,0.00014000000000000001,2.0,11.9,3.0,-381.8080238571141,0.022968750000000007
4.2e-05,8.9e-05,0.1,0.0001,2.0,11.9,3.0,-264.9720848681972,0.0196875
4.2e-05,9.05e-05,0.1,0.00011,2.0,11.9,3.0,-212.95091336177614,0.023281250000000003
4.2e-05,9.05e-05,0.1,0.00013000000000000002,2.0,11.9,3.0,-207.48734255261368,0.023125000000000003
4.2e-05,8.9e-05,0.1,0.00012,2.0,11.9,3.0,-197.5916807423783,0.0196875
4.2e-05,8.85e-05,0.1,0.0001,2.0,11.9,3.0,-19.712456192245295,0.019062500000000003
4.2e-05,8.85e-05,0.1,0.00021,2.0,11.9,3.0,1.4689711285330532e-16,2.0
4.2e-05,8.85e-05,0.1,0.0002,2.0,11.9,3.0,1.4689711285331077e-16,2.0
4.2e-05,8.85e-05,0.1,0.00019,2.0,11.9,3.0,1.468971128533272e-16,2.0
4.2e-05,8.85e-05,0.1,0.00018,2.0,11.9,3.0,1.4689711285334478e-16,2.0
4.2e-05,8.85e-05,0.1,0.00017,2.0,11.9,3.0,1.4689711285336364e-16,2.0
4.2e-05,8.85e-05,0.1,0.00016,2.0,11.9,3.0,1.4689711285338396e-16,2.0
4.2e-05,8.85e-05,0.1,0.00015000000000000001,2.0,11.9,3.0,1.468971128534056e-16,2.0
4.2e-05,8.85e-05,0.1,0.00013000000000000002,2.0,11.9,3.0,1.468971128534546e-16,2.0
4.2e-05,8.85e-05,0.1,0.00025,2.0,11.9,3.0,1.4689711285430426e-16,2.0
4.2e-05,8.85e-05,0.1,0.00024000000000000003,2.0,11.9,3.0,1.4689711285435253e-16,2.0
4.2e-05,8.9e-05,0.1,0.00017,2.0,11.9,3.0,1.4789047390739425e-16,2.0
4.2e-05,8.95e-05,0.1,0.00015000000000000001,2.0,11.9,3.0,1.4888943135316961e-16,2.0
4.2e-05,8.95e-05,0.1,0.00024000000000000003,2.0,11.9,3.0,1.488894313538462e-16,2.0
4.2e-05,8.95e-05,0.1,0.00016,2.0,11.9,3.0,1.4888943135395027e-16,2.0
4.2e-05,8.95e-05,0.1,0.00023,2.0,11.9,3.0,1.4888943135489902e-16,2.0
4.2e-05,8.95e-05,0.1,0.00022000000000000003,2.0,11.9,3.0,1.488894313552101e-16,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00016,2.0,11.9,3.0,1.4989398520481857e-16,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00025,2.0,11.9,3.0,1.4989398520510266e-16,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00019,2.0,11.9,3.0,1.4989398520584337e-16,2.0
4.2e-05,8.999999999999999e-05,0.1,0.0002,2.0,11.9,3.0,1.498939852059393e-16,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00024000000000000003,2.0,11.9,3.0,1.4989398520632593e-16,2.0
4.2e-05,9.05e-05,0.1,0.00019,2.0,11.9,3.0,1.5090413545285827e-16,2.0
4.2e-05,9.05e-05,0.1,0.00021,2.0,11.9,3.0,1.5090413545529858e-16,2.0
4.2e-05,9.05e-05,0.1,0.00016,2.0,11.9,3.0,1.509041354567008e-16,2.0
4.2e-05,9.05e-05,0.1,0.00017,2.0,11.9,3.0,1.5090413545716508e-16,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00012,2.0,11.9,3.0,1421.8818279860413,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00013000000000000002,2.0,11.9,3.0,1424.565144771891,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00014000000000000001,2.0,11.9,3.0,1427.2750132257954,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00015000000000000001,2.0,11.9,3.0,1429.9372829488461,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00018,2.0,11.9,3.0,1437.7987081293086,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00021,2.0,11.9,3.0,1445.250152726004,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00022000000000000003,2.0,11.9,3.0,1447.644930271898,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00023,2.0,11.9,3.0,1450.0683321200447,2.0
4.2e-05,8.85e-05,0.1,0.00023,2.0,11.9,3.0,2681.838680739664,0.027968750000000007
4.2e-05,8.85e-05,0.1,0.00022000000000000003,2.0,11.9,3.0,2828.4813612406074,0.028125000000000004
4.2e-05,8.9e-05,0.1,0.00023,2.0,11.9,3.0,5348.962101922829,0.030156250000000002
4.2e-05,8.9e-05,0.1,0.00022000000000000003,2.0,11.9,3.0,5454.85490324228,0.0303125
4.2e-05,8.999999999999999e-05,0.1,0.0001,2.0,11.9,3.0,5518.306405883401,2.0
4.2e-05,8.999999999999999e-05,0.1,0.00011,2.0,11.9,3.0,5541.954456088948,2.0
4.2e-05,8.9e-05,0.1,0.0002,2.0,11.9,3.0,6310.4215969032975,0.03078125
4.2e-05,8.85e-05,0.1,0.00014000000000000001,2.0,11.9,3.0,6384.012104509847,0.030000000000000002
4.2e-05,8.85e-05,0.1,0.00011,2.0,11.9,3.0,7404.205911818958,0.030781250000000007
4.2e-05,8.9e-05,0.1,0.00018,2.0,11.9,3.0,7833.248373561852,0.03140625
4.2e-05,8.9e-05,0.1,0.00016,2.0,11.9,3.0,9250.679723349798,0.03203124999999999
4.2e-05,8.95e-05,0.1,0.0002,2.0,11.9,3.0,11497.172339524946,0.03359374999999999
4.2e-05,8.95e-05,0.1,0.00011,2.0,11.9,3.0,17399.496842462384,0.03671874999999999
4.2e-05,8.999999999999999e-05,0.1,0.00017,2.0,11.9,3.0,20113.904537198618,0.0378125
4.2e-05,9.05e-05,0.1,0.00023,2.0,11.9,3.0,22276.493355886967,0.038906249999999996
4.2e-05,9.05e-05,0.1,0.00022000000000000003,2.0,11.9,3.0,23731.980735763023,0.039375
4.2e-05,9.05e-05,0.1,0.0002,2.0,11.9,3.0,25454.76647849977,0.04015625
4.2e-05,9.1e-05,0.1,0.00024000000000000003,2.0,11.9,3.0,31501.85924500835,0.042343750000000006
4.2e-05,9.05e-05,0.1,0.00012,2.0,11.9,3.0,32569.820745131037,0.04375
4.2e-05,9.1e-05,0.1,0.00022000000000000003,2.0,11.9,3.0,34073.716184501085,0.043281250000000014
4.2e-05,9.1e-05,0.1,0.00021,2.0,11.9,3.0,35279.3693493621,0.04375000000000002
4.2e-05,9.1e-05,0.1,0.0002,2.0,11.9,3.0,36227.28885437688,0.04421875000000001
4.2e-05,9.1e-05,0.1,0.00019,2.0,11.9,3.0,37216.15657182667,0.04468750000000001
4.2e-05,9.1e-05,0.1,0.00017,2.0,11.9,3.0,39027.3790076278,0.04562500000000001
4.2e-05,8.95e-05,0.1,0.00019,2.0,11.9,3.0,40189.19747647666,2.0
4.2e-05,9.1e-05,0.1,0.00013000000000000002,2.0,11.9,3.0,42691.55961697777,0.04765625000000002
4.2e-05,9.1e-05,0.1,0.00011,2.0,11.9,3.0,43726.43729254325,0.04859375000000002
4.2e-05,9.1e-05,0.1,0.0001,2.0,11.9,3.0,44110.5298159488,0.04906250000000002
4.2e-05,9.2e-05,0.1,0.00014000000000000001,2.0,11.9,3.0,69065.32045917129,0.05718750000000003
4.2e-05,9.2e-05,0.1,0.00012,2.0,11.9,3.0,70197.40612735267,0.05828125000000003
4.2e-05,8.9e-05,0.1,0.00024000000000000003,2.0,11.9,3.0,107958.6908660613,0.062343749999999996
4.2e-05,8.9e-05,0.1,0.00025,2.0,11.9,3.0,109896.34730889057,0.06218750000000001
4.2e-05,8.9e-05,0.1,0.00021,2.0,11.9,3.0,113738.45101224161,0.06453124999999998
4.2e-05,8.9e-05,0.1,0.00019,2.0,11.9,3.0,114620.27795061567,0.06562499999999999
4.2e-05,8.9e-05,0.1,0.00011,2.0,11.9,3.0,116799.25769652607,0.07015624999999995
4.2e-05,8.9e-05,0.1,0.00013000000000000002,2.0,11.9,3.0,118903.74652553868,0.06937499999999998
